的 de5  "白 bai2, 勺 shao2, 日 ri4, 囗 wei2" 0 "有的 似的 目的 别的" "的 de5 of; (used after an attribute); (used to form a nominal expression); (used at the end of a declarative sentence for emphasis)
有的 you3de5 (there are) some (who are...); some (exist)
似的 shi4de5 seems as if; rather like
目的 mu4di4 purpose; aim; goal; target; objective
舁 yu2 臾愉竽谀隅蝓髃褕 "臼 jiu4, 廾 gong3, 十 shi2" 5953  "舁 yu2 to lift; to raise"
郾 yan3 偃兖䶮黡𬙂弇戭鼹 "匽 yan3, 日 ri4, 女 nü3, 囗 wei2" 5954  "郾 yan3 place name"
蔡 cai4 菜 "祭 ji4, 十 shi2, 示 shi4, 二 er4, 小 xiao3, 八 ba1" 5955  
硭 mang2 牻盲邙芒厖忙杧氓 "石 dan4, 芒 mang2, 口 kou3, 亡 wang2, 十 shi2" 5956  "硭 mang2 crude saltpeter"
颧 quan2 辁鬈醛泉痊筌拳权 "雚 guan4, 页 ye4, 十 shi2, 贝 bei4, 人 ren2" 5957 颧骨 "颧 quan2 cheek bones
颧骨 quan2gu3 zygomatic bone (cheek bone)"
宬 cheng2 晟憕酲成塍承枨澂 "成 cheng2, 戊 wu4, 戈 ge1, 弋 yi4" 5958  "宬 cheng2 (literary) archive room; library (esp. in the imperial palace in the ming and qing dynasties)"
袆 hui1 麾隳咴挥灰㧑辉晖 "韦 wei2, 二 er4" 5959  "袆 hui1 a queen's ceremonial gowns"
祏 shi2 鼫石识湜埘炻鲥蚀 "石 dan4, 卜 bu3, 口 kou3" 5960  "祏 shi2 stone shrine"
祕 mi4 幂嘧觅秘密汨谧蜜 "必 bi4, 卜 bu3, 心 xin1" 5961  
陧 nie4 菍臬糵嵲镍孽聂啮 "日 ri4, 土 tu3, 囗 wei2, 十 shi2" 5962  "陧 nie4 dangerous"
陞 sheng1 甥声笙升牲生昇 "升 sheng1, 土 tu3, 廾 gong3, 十 shi2" 5963  
禧 xi3 玺葸蓰喜𬭳屣徙洗 "喜 xi3, 卜 bu3, 口 kou3, 十 shi2, 豆 dou4" 5964  "禧 xi3 joy"
癣 xuan3 晅选烜 "疒 ne4, 鲜 xian1, 广 guang3, 厂 chang3, 鱼 yu2, 羊 yang2, 田 tian2, 囗 wei2, 十 shi2, 二 er4" 5965  "癣 xuan3 ringworm"
𫄧 yan2 虤岩炎筵严芫颜阎 "延 yan2" 5966  "𫄧 yan2 cap tassels"
恝 jia2 颊铗荚蛱郏 "心 xin1, 丰 feng1, 刀 dao1, 三 san1, 二 er4" 5967  "恝 jia2 indifferent"
珪 gui1 瑰邽皈硅鲑鬶归圭 "十 shi2, 土 tu3" 5968  
珛 xiu4 绣岫琇锈嗅袖溴秀 "有 you3, 十 shi2, 月 yue4" 5969  "珛 xiu4 quickly-deteriorating jade"
珖 guang1 光咣胱桄垙𨐈洸 "光 guang1, 十 shi2, 兀 wu4, 儿 er2" 5970  "珖 guang1 (jade)"
𪟝 ji4 济霁罽祭继既𬶭悸 "责 ze2, 力 li4, 贝 bei4, 土 tu3, 十 shi2, 人 ren2" 5971  "𪟝 ji4 merit"
珦 xiang4 像巷象项橡向 "向 xiang4, 十 shi2, 口 kou3" 5972  "珦 xiang4 a kind of jade"
珫 chong1 摏充憧舂翀冲艟忡 "充 chong1, 十 shi2, 儿 er2" 5973  
珒 jin1 𬬱今金衿斤矜津襟 "聿 yu4, 十 shi2, 二 er4" 5974  "珒 jin1 a kind of jade"
𬍤 xun2 巡𬘓浔𬩽栒珣旬鲟 "寻 xun2, 十 shi2, 寸 cun4" 5975  
珢 yin2 龂蟫吟淫寅訚硍崟 "艮 gen3, 十 shi2" 5976  
珕 li4 俐栎粝砺坜溧跞浰 "劦 lie4, 十 shi2, 力 li4" 5977  
珝 xu3 冔糈许醑诩栩 "羽 yu3, 十 shi2, 习 xi2" 5978  "珝 xu3 a kind of jade"
𫭼 lao2 劳唠醪铹牢崂痨 "土 tu3, 劳 lao2, 十 shi2, 力 li4" 5979  
埗 bu4 瓿钚埔布簿不蔀怖 "土 tu3, 步 bu4, 十 shi2, 止 zhi3" 5980  "埗 bu4 wharf; dock; jetty; trading center; port; place name"
垾 han4 撖瀚汉旱菡憾暵颔 "土 tu3, 旱 han4, 十 shi2, 日 ri4, 干 gan4, 囗 wei2" 5981  "垾 han4 small dike"
垺 fu2 孚涪莩怫韨榑罘伏 "土 tu3, 孚 fu2, 十 shi2, 子 zi5, 了 le5" 5982  
筇 qiong2 琼茕銎䓖蛩邛穷穹 "邛 qiong2, 工 gong1" 5983  
埆 que4 悫阕碏确雀𬒈却榷 "土 tu3, 角 jiao3, 十 shi2" 5984  "埆 que4 (of land) barren; stony"
垿 xu4 酗洫蓄序叙旭昫续 "土 tu3, 序 xu4, 十 shi2, 广 guang3, 予 yu2, 厂 chang3" 5985  
埌 lang4 蒗浪㫰崀莨阆 "土 tu3, 良 liang2, 十 shi2, 艮 gen3" 5986  "埌 lang4 wasteland; wild"
埇 yong3 涌恿泳俑咏勇鲬栐 "土 tu3, 甬 yong3, 十 shi2, 用 yong4, 二 er4" 5987  "埇 yong3 raised path"
瞠 cheng1 铛柽撑赪琤偁蛏称 "目 mu4, 堂 tang2, 囗 wei2, 土 tu3, 口 kou3, 十 shi2" 5988 瞠目 "瞠 cheng1 stare at sth beyond reach
瞠目 cheng1mu4 to stare"
茝 chai3  "十 shi2, 口 kou3" 5989  
𬜯 liang3 魉两 "两 liang3, 十 shi2, 从 cong2, 人 ren2" 5990  
栻 shi4 释奭筮贳饰媞事舐 "木 mu4, 式 shi4, 十 shi2, 弋 yi4, 工 gong1" 5991  "栻 shi4 (tree)"
𬂩 jia1 珈袈浃夹加泇跏佳 "木 mu4, 夹 jia1, 十 shi2, 大 da4, 人 ren2" 5992  
桄 guang1 胱光珖𨐈咣洸垙 "木 mu4, 光 guang1, 十 shi2, 兀 wu4, 儿 er2" 5993  
栴 zhan1 沾詹毡鳣鹯旃𫗴谵 "木 mu4, 丹 dan1, 十 shi2" 5994  
栒 xun2 鲟𬊈峋𬩽𬘓询循洵 "木 mu4, 旬 xun2, 十 shi2, 日 ri4, 囗 wei2" 5995  "栒 xun2 cross bar"
噤 jin4 进溍殣荩觐琎晋赆 "口 kou3, 禁 jin1, 林 lin2, 示 shi4, 木 mu4, 十 shi2, 二 er4, 小 xiao3, 八 ba1" 5996 噤声 "噤 jin4 unable to speak; silent
噤声 jin4sheng1 to keep silent"
酎 zhou4 咒㑇胄荮纣籀宙昼 "寸 cun4, 西 xi1, 儿 er2, 囗 wei2" 5997  "酎 zhou4 strong wine"
酏 yi3 𫖮旖钇已乙踦扆椅 "也 ye3, 西 xi1, 儿 er2, 囗 wei2, 乜 mie1" 5998  
𫠆 kui3 煃傀跬 "支 zhi1, 页 ye4, 十 shi2, 又 you4, 贝 bei4, 人 ren2" 5999  "𫠆 kui3 raise one's head"
鬈 quan2 蜷拳醛泉诠辁全痊 "髟 biao1, 卷 juan3, 三 san1, 二 er4, 夫 fu1, 人 ren2" 6000  "鬈 quan2 to curl; curled"
砵 bo1 波剥播菠拨饽哱𬭛 "石 dan4, 本 ben3, 口 kou3, 木 mu4, 十 shi2" 6001  "砵 bo1 alms bowl"
砠 ju1 𬶋居拘鞠腒琚掬娵 "石 dan4, 且 qie3, 口 kou3" 6002  
砫 zhu4 贮铸翥著筑柱注住 "石 dan4, 主 zhu3, 口 kou3, 王 wang2, 土 tu3, 十 shi2" 6003  
砬 la2 旯 "石 dan4, 立 li4, 口 kou3" 6004  "砬 la2 a huge boulder; a towering rock"
硁 keng1 吭铿坑 "石 dan4, 口 kou3, 工 gong1" 6005  "硁 keng1 obstinate"
恧 nü4 衄 "而 er2, 心 xin1" 6006  "恧 nü4 ashamed"
翃 hong2 宏虹𫟹黉荭鸿闳洪 "羽 yu3, 习 xi2" 6007  "翃 hong2 to swarm (of insects)"
𨐈 guang1 咣桄光珖洸胱垙 "车 che1, 光 guang1, 十 shi2, 兀 wu4, 儿 er2" 6008  
辀 zhou1 赒婤州洲鸼诌舟周 "车 che1, 舟 zhou1, 十 shi2" 6009  "辀 zhou1 (literary) shaft (of a cart); cart"
灞 ba4 罢霸耙鲅坝爸 "霸 ba4, 革 ge2, 月 yue4" 6010  "灞 ba4 name of a river"
辁 quan2 鳈醛鬈泉权婘全颧 "车 che1, 全 quan2, 十 shi2, 人 ren2, 王 wang2, 土 tu3" 6011  "辁 quan2 limited (of talent or ability)"
𬌗 he2 盍河涸饸郃阖菏核 "牙 ya2, 合 he2, 丁 ding1, 口 kou3, 人 ren2" 6012  
剕 fei4 沸芾吠痱镄费肺废 "非 fei1, 三 san1, 二 er4" 6013  "剕 fei4 amputation of limbs as corporal punishment"
赀 zi1 资孖髭淄粢嗞姿觜 "此 ci3, 贝 bei4, 止 zhi3, 匕 bi3, 人 ren2" 6014  "赀 zi1 to estimate"
哢 long4  "口 kou3, 弄 nong4, 王 wang2, 廾 gong3, 土 tu3, 十 shi2" 6015  "哢 long4 to sing or chirp (of birds); music sound"
晅 xuan3 选烜癣 "日 ri4, 亘 gen4, 囗 wei2, 旦 dan4" 6016  
晊 zhi4 峙帜挚志炙畤滍置 "日 ri4, 至 zhi4, 囗 wei2, 土 tu3, 十 shi2" 6017  
唝 hong3  "口 kou3, 贡 gong4, 工 gong1, 贝 bei4, 人 ren2" 6018  
哳 zha1 挓奓扎吒渣揸齇楂 "口 kou3, 折 zhe2, 斤 jin1" 6019  
哱 bo1 蕃播波𬭛饽玻剥嶓 "口 kou3, 孛 bei4, 十 shi2, 子 zi5, 了 le5" 6020  "哱 bo1 phonetic bo"
冔 xu3 许糈栩诩醑珝 "冃 mao4, 吁 xu1, 二 er4, 口 kou3, 于 yu2" 6021  "冔 xu3 cap of yin dynasty"
晐 gai1 荄该陔赅垓 "日 ri4, 囗 wei2, 人 ren2" 6022  
畖 wa1 窊挖洼娲蛙哇 "田 tian2, 瓜 gua1, 囗 wei2, 十 shi2" 6023  
蚄 fang1 芳方坊牥枋钫邡 "虫 chong2, 方 fang1, 中 zhong1, 口 kou3, 万 wan4" 6024  
蚆 ba1 羓朳鲃巴岜疤叭芭 "虫 chong2, 巴 ba1, 中 zhong1, 口 kou3" 6025  "蚆 ba1 a kind of shell"
𫑡 meng2 朦蒙幪甍礞鹲萌瞢 "黾 meng3, 口 kou3, 电 dian4, 日 ri4, 囗 wei2" 6026  
帱 chou2 愁筹酬稠畴雠踌俦 "巾 jin1, 寿 shou4, 三 san1, 寸 cun4, 二 er4" 6027  "帱 chou2 canopy; curtain"
崁 kan4 磡衎看墈瞰阚 "山 shan1, 坎 kan3, 凵 kan3, 土 tu3, 欠 qian4, 十 shi2, 人 ren2" 6028  
篦 bi4 佖坒愎毙跸筚毖赑 "囟 xin4, 比 bi3, 囗 wei2, 乂 yi4, 匕 bi3" 6029  "篦 bi4 fine-toothed comb; to comb"
峿 wu2 唔鼯珸浯铻吾梧吴 "山 shan1, 吾 wu2, 凵 kan3, 五 wu3, 口 kou3" 6030  "峿 wu2 name of a mountain"
𪨶 she1 奢猞畲赊 "山 shan1, 大 da4, 车 che1, 凵 kan3, 人 ren2, 十 shi2" 6031  
崄 xian3 燹冼狝藓猃筅㬎显 "山 shan1, 佥 qian1, 凵 kan3, 人 ren2" 6032  "崄 xian3 precipitous; rugged"
帨 shui4 税睡 "巾 jin1, 八 ba1, 兄 xiong1, 口 kou3, 儿 er2" 6033  "帨 shui4 handkerchief"
崀 lang4 浪阆㫰莨蒗埌 "山 shan1, 良 liang2, 凵 kan3, 艮 gen3" 6034  
踵 zhong3 冢肿种 "重 zhong4, 口 kou3, 止 zhi3, 千 qian1, 里 li3, 十 shi2, 田 tian2, 土 tu3, 囗 wei2" 6035  "踵 zhong3 to arrive; to follow; heel"
赆 jin4 殣溍晋烬浸浕禁缙 "贝 bei4, 尽 jin3, 人 ren2, 尺 chi3, 尸 shi1" 6036  "赆 jin4 farewell presents"
𬬸 shu4 恕竖澍戍述庶数隃 "术 shu4, 二 er4, 木 mu4, 十 shi2" 6037  "𬬸 shu4 acmite"
钷 po3 笸叵 "叵 po3, 二 er4, 口 kou3" 6038  "钷 po3 promethium (chemistry)"
𬬻 lu2 垆鲈庐泸卢轳芦炉 "卢 lu2, 二 er4, 尸 shi1" 6039  "𬬻 lu2 rutherfordium (chemistry)"
𬬹 shen2 什神 "申 shen1, 二 er4, 日 ri4, 囗 wei2" 6040  
𬬿 zhao1 啁钊昭招 "召 zhao4, 二 er4, 刀 dao1, 口 kou3" 6041  "𬬿 zhao1 sickle"
𬭁 mu3 亩拇姆母𧿹牡 "母 mu3, 二 er4" 6042  
眚 sheng3 省 "生 sheng1, 目 mu4, 土 tu3, 十 shi2, 囗 wei2" 6043  "眚 sheng3 cataract of the eye; error"
甡 shen1 绅燊呻申侁珅𬳽诜 "生 sheng1, 土 tu3, 十 shi2" 6044  "甡 shen1 multitude; crowd"
袷 qia1 掐葜 "合 he2, 口 kou3, 人 ren2" 6045  
裉 ken4  "艮 gen3" 6046  "裉 ken4 side seam in an upper garment"
倻 ye1 耶椰噎掖 "耶 ye1, 耳 er3" 6047  
倴 ben4 笨坌 "奔 ben1, 大 da4, 卉 hui4, 人 ren2, 十 shi2, 廾 gong3" 6048  
倮 luo3 蠃裸蓏瘰 "果 guo3, 日 ri4, 木 mu4, 囗 wei2, 十 shi2" 6049  
倕 chui2 棰捶锤槌陲垂圌 "垂 chui2" 6050  
逯 lu4 录稑箓禄露戮麓勠 "辶 chuo4, 录 lu4, 彐 ji4, 八 ba1" 6051  "逯 lu4 to walk cautiously; to walk aimlessly"
倞 jing4 靓镜竟净靖痉迳婧 "京 jing1, 口 kou3, 小 xiao3, 八 ba1" 6052  "倞 jing4 strong; powerful"
郿 mei2 糜梅没镅嵋瑂眉莓 "眉 mei2, 目 mu4, 尸 shi1, 囗 wei2" 6053  
𫢸 dan4 澹但疍萏旦诞惮氮 "单 dan1, 日 ri4, 十 shi2, 囗 wei2" 6054  "𫢸 dan4 great; severe"
顼 xu1 谞墟需𬣙欻𦈡旴魆 "页 ye4, 十 shi2, 贝 bei4, 人 ren2" 6055  
倓 tan2 昙坛锬磹榃谈谭郯 "炎 yan2, 火 huo3, 人 ren2" 6056  "倓 tan2 quiet; peaceful"
隈 wei1 巍薇鳂逶危葳威煨 "畏 wei4, 田 tian2, 囗 wei2, 十 shi2" 6057  "隈 wei1 bay; cove"
倧 zong1 宗腙鬷综踪棕鬃 "宗 zong1, 示 shi4, 二 er4, 小 xiao3, 八 ba1" 6058  
衃 pei1 醅胚呸 "血 xue4, 不 bu4, 皿 min3" 6059  
隍 huang2 艎潢凰𨱑篁皇惶徨 "皇 huang2, 白 bai2, 王 wang2, 日 ri4, 囗 wei2, 土 tu3, 十 shi2" 6060  "隍 huang2 dry moat; god of city"
虒 si1 澌撕㟃厮鸶嘶丝楒 "虎 hu3, 虍 hu1, 儿 er2, 七 qi1" 6061  "虒 si1 amphibious animal with one horn"
舭 bi3 彼秕沘笔匕俾比鄙 "舟 zhou1, 比 bi3, 匕 bi3" 6062  "舭 bi3 bilge"
舯 zhong1 钟锺衷柊螽盅忠中 "舟 zhou1, 中 zhong1, 口 kou3" 6063  
舥 pa1 葩趴啪 "舟 zhou1, 巴 ba1" 6064  
瓞 die2 喋昳蝶蹀牒绖楪迭 "瓜 gua1, 失 shi1, 夫 fu1, 二 er4, 人 ren2" 6065  "瓞 die2 young melon"
鬯 chang4 怅唱畅倡 "匕 bi3, 凵 kan3" 6066  
鸰 ling2 澪祾柃羚聆菱鲮瓴 "令 ling4, 鸟 niao3, 乌 wu1, 马 ma3" 6067  "鸰 ling2 wagtail; lark"
脎 sa4 萨卅飒 "杀 sha1, 小 xiao3, 八 ba1" 6068  
朓 tiao3 嬥挑窕 "月 yue4, 兆 zhao4, 儿 er2, 八 ba1" 6069  "朓 tiao3 (literary) the appearance of the moon in the west at the end of a lunar month"
胲 hai3 海醢 "人 ren2" 6070  "胲 hai3 hydroxylamine (chemistry)"
虓 xiao1 猇翛嚣箫哓逍魈蟏 "九 jiu3, 虎 hu3, 虍 hu1, 儿 er2, 七 qi1" 6071  "虓 xiao1 roar of a tiger"
鱽 dao1 叨氘舠刀忉 "鱼 yu2, 刀 dao1, 田 tian2, 囗 wei2, 十 shi2" 6072  "鱽 dao1 coilia ectenes"
狴 bi4 蔽赑箅陛裨璧濞哔 "坒 bi4, 比 bi3, 土 tu3, 匕 bi3, 十 shi2" 6073  "狴 bi4 (tapir)"
峱 nao2 铙挠硇呶蛲猱 "丑 chou3, 山 shan1, 十 shi2, 凵 kan3" 6074  "峱 nao2 name of a mountain"
狻 suan1 酸 "夌 ling2, 土 tu3, 八 ba1, 十 shi2" 6075  "狻 suan1 (mythical animal)"
耠 huo1 劐嚄𬴃攉锪 "耒 lei3, 合 he2, 未 wei4, 木 mu4, 十 shi2, 口 kou3, 人 ren2" 6076  "耠 huo1 a hoe; to hoe; to loosen the soil with a hoe"
眢 yuan1 鸢涴蜎冤箢渊鸳 "夗 yuan4, 目 mu4, 夕 xi1, 囗 wei2" 6077  "眢 yuan1 inflamed eyelids; parched"
琫 beng3  "奉 feng4, 十 shi2, 三 san1, 二 er4" 6078  "琫 beng3 gem ornament of scabbard"
𫗧 su4 谡蹜肃嗉溯塑粟骕 "束 shu4, 木 mu4, 口 kou3, 十 shi2" 6079  "𫗧 su4 pot of cooked rice"
勍 qing2 黥晴檠氰擎情 "京 jing1, 力 li4, 口 kou3, 小 xiao3, 八 ba1" 6080  "勍 qing2 violent; strong"
琨 kun1 锟醌昆髡婫鹍裈焜 "昆 kun1, 十 shi2, 日 ri4, 比 bi3, 囗 wei2, 匕 bi3" 6081  "琨 kun1 (jade)"
痄 zha4 栅䃎咤霅炸乍榨溠 "疒 ne4, 乍 zha4, 广 guang3, 厂 chang3, 二 er4" 6082  "痄 zha4 mumps"
琮 cong2 丛悰从淙 "宗 zong1, 十 shi2, 示 shi4, 二 er4, 小 xiao3, 八 ba1" 6083  
疰 zhu4 炷住苎著砫柷铸杼 "疒 ne4, 主 zhu3, 广 guang3, 厂 chang3, 王 wang2, 土 tu3, 十 shi2" 6084  
琯 guan3 管鳤筦莞馆 "官 guan1, 十 shi2" 6085  "琯 guan3 mus. instr.; to polish jade or gold"
痃 xuan2 漩旋悬璇暶玹𫠊玄 "疒 ne4, 玄 xuan2, 广 guang3, 厂 chang3, 幺 yao1" 6086  
荸 bi2 鼻 "孛 bei4, 十 shi2, 子 zi5, 了 le5" 6087  
琚 ju1 砠雎锔掬趄拘鞫椐 "居 ju1, 十 shi2, 尸 shi1, 古 gu3, 口 kou3" 6088  "琚 ju1 ornamental gems for belt"
竘 qu3 娶曲取龋 "立 li4, 句 ju4, 口 kou3" 6089  
羖 gu3 谷瀔馉汩𦙶毂鼓鹄 "羊 yang2, 殳 shu1, 二 er4, 又 you4" 6090  "羖 gu3 black ewe"
鼋 yuan2 螈园塬羱嫄辕猿垣 "元 yuan2, 黾 meng3, 兀 wu4, 儿 er2, 口 kou3, 电 dian4, 日 ri4, 囗 wei2" 6091  "鼋 yuan2 sea turtle"
羓 ba1 捌扒疤笆朳巴吧叭 "羊 yang2, 巴 ba1, 二 er4" 6092  
揳 xie1 楔歇些蝎 "契 qi4, 大 da4, 丰 feng1, 刀 dao1, 三 san1, 二 er4, 人 ren2" 6093  "揳 xie1 to hammer in (a nail); to drive (a wedge)"
莳 shi2 祏时鼫炻十鲥蚀实 "时 shi2, 十 shi2, 日 ri4, 寸 cun4, 囗 wei2" 6094  
桊 juan4 眷狷倦鄄绢隽 "木 mu4, 夫 fu1, 二 er4, 人 ren2, 十 shi2" 6095  
堞 die2 蹀楪蝶垤谍叠昳耋 "土 tu3, 十 shi2, 世 shi4, 木 mu4, 廿 nian4, 卄 nian4" 6096  "堞 die2 battlements"
莴 wo1 涡窝挝踒蜗喔倭 "呙 wai1, 十 shi2, 口 kou3, 内 nei4, 人 ren2" 6097  
敉 mi3 米洣靡弭脒芈 "米 mi3, 木 mu4, 十 shi2, 乂 yi4" 6098  "敉 mi3 peaceful"
揸 zha1 奓齇吒哳挓渣扎楂 "查 cha2, 木 mu4, 旦 dan4, 十 shi2, 日 ri4, 囗 wei2" 6099  "揸 zha1 to stretch fingers out"
烠 hui2 茴回蛔洄 "火 huo3, 有 you3, 人 ren2, 月 yue4" 6100  
烔 tong2 砼仝童桐哃酮佟瞳 "火 huo3, 同 tong2, 人 ren2, 口 kou3" 6101  "烔 tong2 hot; heated"
揠 ya4 砑氩亚娅猰讶迓轧 "匽 yan3, 日 ri4, 女 nü3, 囗 wei2" 6102  "揠 ya4 to eradicate; to pull up"
莠 you3 有酉槱友牖卣铕羑 "秀 xiu4, 十 shi2, 禾 he2, 乃 nai3, 木 mu4" 6103  "莠 you3 setaria viridis; vicious"
堙 yin1 喑禋𬮱愔阴茵𬘡𬤇 "土 tu3, 垔 yin1, 十 shi2, 口 kou3" 6104  "堙 yin1 bury; mound; to dam; close; to block"
莜 you2 邮莸铀𬨎尤游猷繇 "攸 you1, 十 shi2, 乂 yi4" 6105  
塄 leng2 楞棱崚 "土 tu3, 十 shi2, 罒 wang3, 方 fang1, 囗 wei2, 万 wan4" 6106  "塄 leng2 elevated bank around a field"
𬊈 xun2 旬𬍤洵寻𬩽栒荀浔 "火 huo3, 寻 xun2, 人 ren2, 寸 cun4" 6107  "𬊈 xun2 warm up (food)"
莩 fu2 茀俘苻菔弗宓榑蚨 "孚 fu2, 十 shi2, 子 zi5, 了 le5" 6108  "莩 fu2 membrane lining inside a cylindrical stem; culm"
耋 die2 蹀蝶谍垤堞牒昳鲽 "老 lao3, 至 zhi4, 匕 bi3, 土 tu3, 十 shi2" 6109  "耋 die2 aged; in one's eighties"
涍 xiao4 效笑校哮敩肖啸孝 "孝 xiao4, 子 zi5, 土 tu3, 十 shi2, 了 le5" 6110  
浡 bo2 箔礴鹁薄伯鲌渤镈 "孛 bei4, 十 shi2, 子 zi5, 了 le5" 6111  "浡 bo2 full; gushing (of fountain)"
蛩 qiong2 穷筇銎琼茕穹邛䓖 "巩 gong3, 虫 chong2, 工 gong1, 凡 fan2, 几 ji3, 中 zhong1, 口 kou3" 6112  "蛩 qiong2 anxious; grasshopper; a cricket"
莸 you2 疣𬨎犹蚰游繇蝣鱿 "犹 you2, 十 shi2, 尤 you2, 尢 wang1" 6113  "莸 you2 caryopteris divaricata"
翳 yi4 易鹢螠肄佚役刈驿 "殹 yi4, 羽 yu3, 医 yi1, 殳 shu1, 矢 shi3, 大 da4, 人 ren2, 又 you4, 习 xi2" 6114  "翳 yi4 feather screen; to screen; to shade; cataract"
浭 geng1 鹒赓庚更耕羹 "更 geng4, 日 ri4, 乂 yi4, 囗 wei2" 6115  "浭 geng1 name of a river in hebei"
塆 wan1 剜湾弯蜿婠豌 "土 tu3, 弯 wan1, 十 shi2, 弓 gong1" 6116  "塆 wan1 col; gully"
浬 li3 李醴逦里鳢理澧鲤 "里 li3, 田 tian2, 土 tu3, 囗 wei2, 十 shi2" 6117  "浬 li3 nautical mile"
莨 lang4 埌蒗崀浪㫰阆 "良 liang2, 十 shi2, 艮 gen3" 6118  "莨 lang4 scopalia japonica maxin"
揆 kui2 夔喹暌櫆戣逵魁骙 "癸 gui3, 天 tian1, 大 da4, 人 ren2" 6119  "揆 kui2 consider; estimate"
涄 ping1 娉乒俜 "甹 ping1, 由 you2, 日 ri4, 囗 wei2" 6120  "涄 ping1 (literary) runny; watery; fluid"
莼 chun2 𬭚唇淳纯醇鹑 "纯 chun2, 十 shi2, 屯 tun2, 凵 kan3" 6121  "莼 chun2 edible water plant; brasenia schreberi; edible water plant; brasenia schreberi"
掾 yuan4 院怨苑瑗垸愿  6122  "掾 yuan4 official"
涢 yun2 鋆芸昀云妘沄匀筼 "员 yuan2, 口 kou3, 贝 bei4, 人 ren2" 6123  "涢 yun2 (name of a river in hebei)"
涐 e2 莪额峨锇蛾鹅俄哦 "我 wo3, 戈 ge1, 弋 yi4" 6124  
浰 li4 立利疠莅苈呖猁痢 "利 li4, 禾 he2, 木 mu4, 十 shi2" 6125  "浰 li4 to attend (official functions)"
靰 wu4 婺杌勿戊鹜痦误雾 "革 ge2, 兀 wu4, 儿 er2" 6126  "靰 wu4 leg warmer"
浟 you2 油猷铀邮蝣由犹鲉 "攸 you1, 乂 yi4" 6127  
浛 han2 嵅邗琀寒邯崡含晗 "含 han2, 今 jin1, 口 kou3" 6128  
浲 feng2 逢冯 "夆 feng2, 丰 feng1, 三 san1, 二 er4" 6129  
涘 si4 嗣兕耜驷祀似肆巳 "矢 shi3, 大 da4, 人 ren2" 6130  "涘 si4 river bank"
悈 jie4 戒褯芥骱玠诫界疥 "戒 jie4, 卜 bu3, 戈 ge1, 廾 gong3, 弋 yi4, 十 shi2" 6131  
麝 she4 设社赦涉摄射滠慑 "鹿 lu4, 射 she4, 广 guang3, 比 bi3, 厂 chang3, 匕 bi3, 身 shen1, 寸 cun4" 6132  "麝 she4 musk deer (moschus moschiferus)"
悃 kun3 壸阃捆 "困 kun4, 卜 bu3, 囗 wei2, 木 mu4, 十 shi2" 6133  "悃 kun3 sincere"
蒌 lou2 耧偻溇楼𪣻剅喽髅 "娄 lou2, 十 shi2, 米 mi3, 女 nü3, 木 mu4" 6134  "蒌 lou2 arthemisia vulgaris; piper betel"
悢 liang4 辆量亮晾踉谅 "良 liang2, 卜 bu3, 艮 gen3" 6135  "悢 liang4 (literary) sad; melancholy"
𬒈 que4 悫确鹊碏雀却阕榷 "石 dan4, 口 kou3" 6136  "𬒈 que4 (arch.) large stone; boulder; hard"
黔 qian2 前荨乾钱钳墘潜钤 "黑 hei1, 今 jin1, 土 tu3, 口 kou3, 十 shi2" 6137  
宧 yi2 嶷眙匜怡咦扅迤宜 "口 kou3" 6138  "宧 yi2 northeastern corner of a room"
棼 fen2 焚𣸣坟鼢豮汾 "林 lin2, 分 fen1, 木 mu4, 十 shi2, 八 ba1, 刀 dao1" 6139  "棼 fen2 beams in roof; confused"
螭 chi1 痴瓻吃蚩鸱哧𫄨魑 "虫 chong2, 离 li2, 中 zhong1, 口 kou3, 禸 rou2, 凶 xiong1, 凵 kan3" 6140  "螭 chi1 dragon with horns not yet grown (in myth or heraldry)"
窅 yao3 舀咬窈杳 "穴 xue2, 目 mu4, 八 ba1, 囗 wei2" 6141  "窅 yao3 sunken eyes; deep and hollow; remote and obscure"
椟 du2 渎黩髑牍毒犊独读 "木 mu4, 卖 mai4, 十 shi2, 买 mai3, 头 tou2, 大 da4, 人 ren2" 6142  "椟 du2 cabinet; case; casket"
窊 wa1 挖哇蛙娲洼畖 "穴 xue2, 瓜 gua1, 八 ba1" 6143  "窊 wa1 lowland swamp"
椤 luo2 逻猡罗骡箩脶螺锣 "木 mu4, 罗 luo2, 十 shi2, 罒 wang3, 夕 xi1, 囗 wei2" 6144  
窎 diao4 铞调吊铫钓掉 "穴 xue2, 鸟 niao3, 八 ba1, 乌 wu1, 马 ma3" 6145  "窎 diao4 (literary) distant; deep; profound"
赍 ji1 缉羁箕跻乩积嵇剞 "十 shi2, 从 cong2, 贝 bei4, 人 ren2" 6146  "赍 ji1 to present (a gift); to harbor (a feeling); (literary) to harbor (a feeling); (literary) to present as a gift"
扅 yi2 沂胰夷颐移眙怡仪 "多 duo1, 夕 xi1" 6147  
扆 yi3 倚旖舣𬺈以矣乙蚁 "衣 yi1" 6148  "扆 yi3 screen"
椋 liang2 良粱梁𫟅粮凉辌墚 "木 mu4, 京 jing1, 十 shi2, 口 kou3, 小 xiao3, 八 ba1" 6149  
椁 guo3 果粿馃蜾裹 "木 mu4, 享 xiang3, 十 shi2, 口 kou3, 子 zi5, 了 le5" 6150  "椁 guo3 outer coffin"
